iter	Passed	Remaining
860	1163	187
861	1164	186
862	1165	184
863	1166	183
864	1167	182
865	1168	180
866	1169	179
867	1170	178
868	1171	176
869	1173	175
870	1174	173
871	1175	172
872	1176	171
873	1177	169
874	1178	168
875	1179	166
876	1180	165
877	1181	164
878	1182	162
879	1183	161
880	1185	160
881	1186	158
882	1187	157
883	1188	155
884	1189	154
885	1190	153
886	1191	151
887	1192	150
888	1193	149
889	1195	147
890	1196	146
891	1197	144
892	1198	143
893	1199	142
894	1200	140
895	1201	139
896	1202	138
897	1203	136
898	1205	135
899	1206	134
900	1207	132
901	1208	131
902	1209	129
903	1210	128
904	1212	127
905	1213	125
906	1214	124
907	1215	123
908	1216	121
909	1217	120
910	1219	119
911	1220	117
912	1221	116
913	1222	115
914	1223	113
915	1224	112
916	1225	110
917	1226	109
918	1227	108
919	1228	106
920	1229	105
921	1230	104
922	1231	102
923	1232	101
924	1234	100
925	1235	98
926	1236	97
927	1237	96
928	1238	94
929	1239	93
930	1240	91
931	1241	90
932	1242	89
933	1244	87
934	1245	86
935	1246	85
936	1247	83
937	1248	82
938	1249	81
939	1250	79
940	1251	78
941	1252	77
942	1253	75
943	1254	74
944	1255	73
945	1256	71
946	1257	70
947	1259	69
948	1259	67
949	1260	66
950	1262	65
951	1263	63
952	1264	62
953	1265	61
954	1266	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1271	52
960	1272	51
961	1273	50
962	1274	48
963	1275	47
964	1276	46
965	1278	44
966	1279	43
967	1280	42
968	1281	41
969	1282	39
970	1283	38
971	1285	37
972	1286	35
973	1287	34
974	1288	33
975	1289	31
976	1290	30
977	1291	29
978	1292	27
979	1293	26
980	1294	25
981	1295	23
982	1296	22
983	1297	21
984	1298	19
985	1299	18
986	1300	17
987	1302	15
988	1303	14
989	1304	13
990	1305	11
991	1307	10
992	1308	9
993	1309	7
994	1310	6
995	1311	5
996	1312	3
997	1313	2
998	1314	1
999	1315	0
